№ DirsSet Sift DirNum Stack Error EndState
1 void_bool_string_binary_[EndOfInput]_hex_integer -1 2 -1 1 -1
2 [EndOfInput]_void_bool_string_binary_hex_integer -1 148 1 1 -1
3 [EndOfInput] -1 0 -1 1 1
4 )_;_, -1 6 -1 -1 -1
5 ==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 7 -1 1 -1
6 )_;_, -1 0 -1 1 -1
7 +_-_*_/_%_&_|_<_>_<=_>=_==_!= -1 43 1 1 -1
8 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
9 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
10 ( -1 12 -1 -1 -1
11 ==_<=_%_&_)_*_+_,_-_/_;_!=_<_|_>_>= -1 15 -1 1 -1
12 ( 1 13 -1 1 -1
13 )_!_[Integer]_read_[Identifier]_(_false_true_[Hexadecimal]_-_[Binary]_[FloatPointNumber] -1 126 1 1 -1
14 ) 1 15 -1 1 -1
15 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
16 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
17 ; -1 19 -1 -1 -1
18 = -1 20 -1 1 -1
19 ; 1 0 -1 1 -1
20 = 1 21 -1 1 -1
21 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
22 ; 1 0 -1 1 -1
23 ( -1 25 -1 -1 -1
24 = -1 29 -1 1 -1
25 ( 1 26 -1 1 -1
26 )_!_[Integer]_read_[Identifier]_(_false_true_[Hexadecimal]_-_[Binary]_[FloatPointNumber] -1 126 1 1 -1
27 ) 1 28 -1 1 -1
28 ; 1 0 -1 1 -1
29 = 1 30 -1 1 -1
30 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
31 ; 1 0 -1 1 -1
32 !_[Integer]_read_[Identifier]_(_false_true_[Hexadecimal]_-_[Binary]_[FloatPointNumber] -1 34 -1 -1 -1
33 ; -1 35 -1 1 -1
34 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
35 ; 1 0 -1 1 -1
36 ; 1 0 -1 1 -1
37 ) -1 39 -1 -1 -1
38 bool_string_binary_hex_integer -1 40 -1 1 -1
39 ) -1 0 -1 1 -1
40 integer_bool_string_hex_binary -1 196 1 1 -1
41 [Identifier] 1 42 -1 1 -1
42 )_, -1 69 -1 1 -1
43 + -1 56 -1 -1 -1
44 - -1 57 -1 -1 -1
45 * -1 58 -1 -1 -1
46 / -1 59 -1 -1 -1
47 % -1 60 -1 -1 -1
48 & -1 61 -1 -1 -1
49 | -1 62 -1 -1 -1
50 < -1 63 -1 -1 -1
51 > -1 64 -1 -1 -1
52 <= -1 65 -1 -1 -1
53 >= -1 66 -1 -1 -1
54 == -1 67 -1 -1 -1
55 != -1 68 -1 1 -1
56 + 1 0 -1 1 -1
57 - 1 0 -1 1 -1
58 * 1 0 -1 1 -1
59 / 1 0 -1 1 -1
60 % 1 0 -1 1 -1
61 & 1 0 -1 1 -1
62 | 1 0 -1 1 -1
63 < 1 0 -1 1 -1
64 > 1 0 -1 1 -1
65 <= 1 0 -1 1 -1
66 >= 1 0 -1 1 -1
67 == 1 0 -1 1 -1
68 != 1 0 -1 1 -1
69 ) -1 71 -1 -1 -1
70 , -1 72 -1 1 -1
71 ) -1 0 -1 1 -1
72 , 1 73 -1 1 -1
73 integer_bool_string_hex_binary -1 196 1 1 -1
74 [Identifier] 1 75 -1 1 -1
75 )_, -1 69 -1 1 -1
76 ) -1 78 -1 -1 -1
77 , -1 79 -1 1 -1
78 ) -1 0 -1 1 -1
79 , 1 80 -1 1 -1
80 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
81 )_, -1 76 -1 1 -1
82 read_bool_string_[Identifier]_integer_while_print_binary_hex_{_if_}_return -1 84 -1 -1 -1
83 else -1 85 -1 1 -1
84 read_bool_string_[Identifier]_integer_while_print_binary_hex_{_if_}_return -1 0 -1 1 -1
85 else 1 86 -1 1 -1
86 {_if_while_print_read_bool_string_binary_hex_integer_[Identifier]_return -1 153 -1 1 -1
87 read -1 98 -1 -1 -1
88 [Integer] -1 102 -1 -1 -1
89 [Binary] -1 104 -1 -1 -1
90 [Hexadecimal] -1 106 -1 -1 -1
91 [FloatPointNumber] -1 108 -1 -1 -1
92 true -1 110 -1 -1 -1
93 false -1 112 -1 -1 -1
94 ! -1 114 -1 -1 -1
95 - -1 117 -1 -1 -1
96 ( -1 99 -1 -1 -1
97 [Identifier] -1 124 -1 1 -1
98 read 1 99 -1 1 -1
99 ( 1 100 -1 1 -1
100 ) 1 101 -1 1 -1
101 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
102 [Integer] 1 103 -1 1 -1
103 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
104 [Binary] 1 105 -1 1 -1
105 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
106 [Hexadecimal] 1 107 -1 1 -1
107 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
108 [FloatPointNumber] 1 109 -1 1 -1
109 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
110 true 1 111 -1 1 -1
111 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
112 false 1 113 -1 1 -1
113 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
114 ! 1 115 -1 1 -1
115 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
116 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
117 - 1 118 -1 1 -1
118 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
119 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
120 ( 1 121 -1 1 -1
121 Expression 1 122 -1 1 -1
122 ) 1 123 -1 1 -1
123 )_;_,_==_<=_%_&_*_+_-_/_!=_<_|_>_>= -1 4 -1 1 -1
124 [Identifier] 1 125 -1 1 -1
125 (_==_<=_%_&_)_*_+_,_-_/_;_!=_<_|_>_>= -1 10 -1 1 -1
126 ) -1 128 -1 -1 -1
127 !_[Integer]_read_[Identifier]_(_false_true_[Hexadecimal]_-_[Binary]_[FloatPointNumber] -1 129 -1 1 -1
128 ) -1 0 -1 1 -1
129 read_[Integer]_[Binary]_[Hexadecimal]_[FloatPointNumber]_true_false_!_-_(_[Identifier] -1 87 1 1 -1
130 )_, -1 76 -1 1 -1
131 void_bool_string_binary_hex_integer -1 132 -1 1 -1
132 bool_string_binary_hex_integer_void -1 144 1 1 -1
133 [Identifier]_main -1 140 1 1 -1
134 ( 1 135 -1 1 -1
135 )_bool_string_binary_hex_integer -1 37 1 1 -1
136 ) 1 137 -1 1 -1
137 { 1 138 -1 1 -1
138 }_print_read_bool_string_[Identifier]_binary_hex_integer_{_while_if_return -1 191 1 1 -1
139 } 1 0 -1 1 -1
140 [Identifier] -1 142 -1 -1 -1
141 main -1 143 -1 1 -1
